"date","node","precip_daily","Type","year"
1900-04-18,"6",1.99799981201068,"Normal",1900
1900-04-19,"3",2.69999981392175,"Normal",1900
1900-04-20,"3",3.18600005703047,"Normal",1900
1900-04-21,"3",3.94200015580282,"Normal",1900
1900-04-22,"3",3.30480001866817,"Normal",1900
1900-04-23,"3",3.03479984868318,"Normal",1900
1900-04-24,"6",2.51639998750761,"Normal",1900
1900-04-25,"1",1.90080001484603,"Normal",1900
1900-04-26,"1",0.874799903249368,"Normal",1900
1900-04-27,"1",1.82520006783307,"Normal",1900
1900-04-28,"6",2.14919986319728,"Normal",1900
1900-04-29,"6",2.2788000642322,"Normal",1900
1900-04-30,"5",1.96560019394383,"Normal",1900
1900-05-01,"9",1.26360003487207,"Normal",1900
1900-05-02,"9",1.47959995083511,"Normal",1900
1900-05-03,"1",1.90080001484603,"Normal",1900
1900-05-04,"5",1.86839992529713,"Normal",1900
1900-05-05,"5",1.38239999650978,"Normal",1900
1900-05-06,"5",1.2851999636041,"Normal",1900
1900-05-07,"5",1.60919999470934,"Normal",1900
1900-05-08,"5",0.85320005309768,"Normal",1900
1900-05-09,"5",0.810000038472936,"Normal",1900
1900-05-10,"9",0.993599943467416,"Normal",1900
1900-05-11,"1",1.82520006783307,"Normal",1900
1900-05-12,"1",1.69560002395883,"Normal",1900
1900-05-13,"1",2.36519993632101,"Normal",1900
1900-05-14,"2",3.27240008627996,"Normal",1900
1900-05-15,"2",2.49479982303455,"Normal",1900
1900-05-16,"2",2.60279985959642,"Normal",1900
1900-05-17,"7",2.01959997648373,"Normal",1900
1900-05-18,"7",3.06720009539276,"Normal",1900
1900-05-19,"7",3.01319999853149,"Normal",1900
1900-05-20,"11",1.60919999470934,"Normal",1900
1900-05-21,"1",2.35440001124516,"Normal",1900
1900-05-22,"6",3.80160002969205,"Normal",1900
1900-05-23,"3",3.509999695234,"Normal",1900
1900-05-24,"3",2.21400004229508,"Normal",1900
1900-05-25,"3",2.17080002767034,"Normal",1900
1900-05-26,"2",2.08440015558153,"Normal",1900
1900-05-27,"2",2.8080000076443,"Normal",1900
1900-05-28,"5",2.21400004229508,"Normal",1900
1900-05-29,"9",1.73880003858358,"Normal",1900
1900-05-30,"9",1.53360004769638,"Normal",1900
1900-05-31,"9",1.44720001844689,"Normal",1900
1900-06-01,"4",3.39120004791766,"Normal",1900
1900-06-02,"4",4.8276002984494,"Normal",1900
1900-06-03,"4",4.79520005173981,"Normal",1900
1900-06-04,"4",3.66119990358129,"Normal",1900
1900-06-05,"4",2.52720006974414,"Normal",1900
1900-06-06,"3",2.32200007885695,"Normal",1900
1900-06-07,"2",1.59839991247281,"Normal",1900
1900-06-08,"2",2.28959998930804,"Normal",1900
1900-06-09,"5",2.57040008436888,"Normal",1900
1900-06-10,"5",3.44520014477894,"Normal",1900
1900-06-11,"3",3.8448000443168,"Normal",1900
1900-06-12,"4",3.5316004883498,"Normal",1900
1900-06-13,"4",3.55320002418011,"Normal",1900
1900-06-14,"10",2.12760001304559,"Normal",1900
1900-06-15,"10",1.94400002947077,"Normal",1900
1900-06-16,"5",2.64600003138185,"Normal",1900
1900-06-17,"3",3.196800139267,"Normal",1900
1900-06-18,"3",2.01959981932305,"Normal",1900
1900-06-19,"7",2.2463999746833,"Normal",1900
1900-06-20,"8",2.70000012824312,"Normal",1900
1900-06-21,"8",3.15360012464225,"Normal",1900
1900-06-22,"12",3.33720026537776,"Normal",1900
1900-06-23,"12",3.07799986330792,"Normal",1900
1900-06-24,"12",3.07799986330792,"Normal",1900
1900-06-25,"12",2.6028000167571,"Normal",1900
1900-06-26,"12",2.82959985779598,"Normal",1900
1900-06-27,"12",2.19240003498271,"Normal",1900
1900-06-28,"12",2.33280000393279,"Normal",1900
1900-06-29,"12",3.00239991629496,"Normal",1900
1900-06-30,"12",3.48840015940368,"Normal",1900
1900-07-01,"12",2.5379998376593,"Normal",1900
1900-07-02,"12",2.91600020136684,"Normal",1900
1900-07-03,"12",3.04559993091971,"Normal",1900
1900-07-04,"3",3.31559978658333,"Normal",1900
1900-07-05,"3",2.33280016109347,"Normal",1900
1900-07-06,"3",2.87279987242073,"Normal",1900
1900-07-07,"12",3.88800037326291,"Normal",1900
1900-07-08,"12",3.71520000044256,"Normal",1900
1900-07-09,"12",3.36959988344461,"Normal",1900
1900-07-10,"8",3.00240023061633,"Normal",1900
1900-07-11,"11",1.99799996917136,"Normal",1900
1900-07-12,"11",1.95479995454662,"Normal",1900
1900-07-13,"1",2.09519992349669,"Normal",1900
1900-07-14,"1",2.03039990155958,"Normal",1900
1900-07-15,"1",2.8619997901842,"Normal",1900
1900-07-16,"2",4.93560017785057,"Normal",1900
1900-07-17,"12",4.8707996844314,"Normal",1900
1900-07-18,"3",4.29840004071593,"Normal",1900
1900-07-19,"2",3.81239979760721,"Normal",1900
1900-07-20,"2",2.69999981392175,"Normal",1900
1900-07-21,"2",2.30039991438389,"Normal",1900
1900-07-22,"2",2.61359994183294,"Normal",1900
1900-07-23,"7",2.23560004960746,"Normal",1900
1900-07-24,"7",1.47959995083511,"Normal",1900
1900-07-25,"10",1.59839991247281,"Normal",1900
1900-07-26,"10",1.96560003678314,"Normal",1900
1900-07-27,"10",1.76039988873526,"Normal",1900
1900-07-28,"11",2.26799998199567,"Normal",1900
1900-07-29,"7",2.71079989615828,"Normal",1900
1900-07-30,"7",2.76479999301955,"Normal",1900
1900-07-31,"7",3.11040011001751,"Normal",1900
1900-08-01,"7",2.17080002767034,"Normal",1900
1900-08-02,"8",3.21839998941869,"Normal",1900
1900-08-03,"12",3.06720009539276,"Normal",1900
1900-08-04,"12",2.67839996377006,"Normal",1900
1900-08-05,"12",4.13639975013211,"Normal",1900
1900-08-06,"12",4.31999989086762,"Normal",1900
1900-08-07,"12",3.70440023252741,"Normal",1900
1900-08-08,"12",3.60719980672002,"Normal",1900
1900-08-09,"12",3.44520014477894,"Normal",1900
1900-08-10,"12",2.6028000167571,"Normal",1900
1900-08-11,"12",2.17080002767034,"Normal",1900
1900-08-12,"12",2.10600000573322,"Normal",1900
1900-08-13,"11",1.54439997277223,"Normal",1900
1900-08-14,"11",1.80360006052069,"Normal",1900
1900-08-15,"11",2.64599971706048,"Normal",1900
1900-08-16,"11",1.3283998996485,"Normal",1900
1900-08-17,"11",1.78200005320832,"Normal",1900
1900-08-18,"11",1.76040004589595,"Normal",1900
1900-08-19,"11",2.12760017020628,"Normal",1900
1900-08-20,"11",1.96560003678314,"Normal",1900
1900-08-21,"11",1.65240000933409,"Normal",1900
1900-08-22,"12",1.22039994166698,"Normal",1900
1900-08-23,"12",2.05200006603263,"Normal",1900
1900-08-24,"12",2.11679993080907,"Normal",1900
1900-08-25,"12",1.49039987591095,"Normal",1900
1900-08-26,"12",1.50119995814748,"Normal",1900
1900-08-27,"12",0.766800023848191,"Normal",1900
1900-08-28,"11",1.72799995634705,"Normal",1900
1900-08-29,"7",2.43000011541881,"Normal",1900
1900-08-30,"8",3.01320031285286,"Normal",1900
1900-08-31,"3",4.43879985250533,"Normal",1900
1900-09-01,"3",3.86639989446849,"Normal",1900
1900-09-02,"12",4.41720031667501,"Normal",1900
1900-09-03,"8",3.4559999126941,"Normal",1900
1900-09-04,"3",3.5747998743318,"Normal",1900
1900-09-05,"8",3.62879997119308,"Normal",1900
1900-09-06,"8",1.68480009888299,"Normal",1900
1900-09-07,"7",2.44080004049465,"Normal",1900
1900-09-08,"7",3.39120004791766,"Normal",1900
1900-09-09,"1",2.12759985588491,"Normal",1900
1900-09-10,"1",2.09520008065738,"Normal",1900
1900-09-11,"6",1.65240000933409,"Normal",1900
1900-09-12,"3",1.65240000933409,"Normal",1900
1900-09-13,"6",1.25279995263554,"Normal",1900
1900-09-14,"6",1.98720004409552,"Normal",1900
1900-09-15,"2",2.26800013915636,"Normal",1900
1900-09-16,"6",2.08439999842085,"Normal",1900
1900-09-17,"9",2.75399991078302,"Normal",1900
1900-09-18,"9",2.46239989064634,"Normal",1900
1900-09-19,"6",1.54439997277223,"Normal",1900
1900-09-20,"2",1.37160007143393,"Normal",1900
1900-09-21,"2",1.81440014275722,"Normal",1900
1900-09-22,"5",1.44719986128621,"Normal",1900
1900-09-23,"5",2.09520023781806,"Normal",1900
1900-09-24,"5",2.09520008065738,"Normal",1900
